iter	RMSE
170	14.7634878
171	14.76291068
172	14.76220589
173	14.76100015
174	14.75929899
175	14.75814199
176	14.75710237
177	14.7564129
178	14.75538391
179	14.7540187
180	14.75287162
181	14.75209409
182	14.75113946
183	14.74979053
184	14.74868341
185	14.74744554
186	14.74619888
187	14.74519178
188	14.74400298
189	14.74279714
190	14.74117748
191	14.74024654
192	14.73938147
193	14.73770094
194	14.7367144
195	14.73578593
196	14.73406046
197	14.73324466
198	14.73249277
199	14.73149286
200	14.73048848
201	14.72932341
202	14.72844419
203	14.72753751
204	14.72560199
205	14.72304898
206	14.72223717
207	14.72169682
208	14.72097545
209	14.71977779
210	14.71872296
211	14.71778435
212	14.71682447
213	14.71591206
214	14.71395767
215	14.7131655
216	14.71139865
217	14.71037648
218	14.70945671
219	14.7083605
220	14.70765802
221	14.70670388
222	14.70574279
223	14.70435017
224	14.70330445
225	14.70105151
226	14.7004014
227	14.69930249
228	14.69841643
229	14.6976774
230	14.6967786
231	14.69586309
232	14.69478822
233	14.69351701
234	14.69299196
235	14.69247442
236	14.69165103
237	14.69061338
238	14.68970154
239	14.68891094
240	14.68745543
241	14.68684647
242	14.68314113
243	14.68197365
244	14.68101176
245	14.67999886
246	14.67945108
247	14.67860517
248	14.67735899
249	14.6765779
250	14.67572487
251	14.6751957
252	14.67444298
253	14.67348322
254	14.67269013
255	14.67183544
256	14.671267
257	14.67068605
258	14.66773968
259	14.66674875
260	14.66594958
261	14.66509238
262	14.66379737
263	14.66299384
264	14.66217519
265	14.66146314
266	14.66095182
267	14.65881507
268	14.65776677
269	14.65711493
270	14.65637015
271	14.65564563
272	14.65517136
273	14.65477992
274	14.65413909
275	14.65339657
276	14.65284815
277	14.65184199
278	14.65121111
279	14.65065352
280	14.64972133
281	14.64913829
282	14.64844028
283	14.64799006
284	14.64729828
285	14.64661637
286	14.64580923
287	14.6452925
288	14.64450124
289	14.64398995
290	14.64339178
291	14.64271514
292	14.64217997
293	14.64102892
294	14.64064777
295	14.64016996
296	14.63960146
297	14.63887885
298	14.63786588
299	14.63710357
300	14.63634688
301	14.63568562
302	14.63501363
303	14.63422813
304	14.63369602
305	14.63141923
306	14.63059037
307	14.63004416
308	14.62886901
309	14.62788674
310	14.62748635
311	14.62686349
312	14.62622485
313	14.62584546
314	14.62515953
315	14.62428102
316	14.62363134
317	14.62299996
318	14.62175107
319	14.62104398
320	14.62035556
321	14.61982292
322	14.61917153
323	14.61820702
324	14.61764892
325	14.6169428
326	14.61579522
327	14.61529952
328	14.61479094
329	14.61423902
330	14.61358818
331	14.61309892
332	14.61244362
333	14.61186773
334	14.61125409
335	14.61089748
336	14.60961153
337	14.60893393
338	14.60801779
339	14.60752654
340	14.6062681
341	14.6048918
342	14.60438485
343	14.60385605
344	14.60350164
345	14.60317921
346	14.60252709
347	14.60148791
348	14.60048898
349	14.60014656
350	14.59905592
351	14.59847433
352	14.59794595
353	14.59704027
354	14.59640726
355	14.59582771
356	14.59512623
357	14.59454649
358	14.59370346
359	14.59328083
360	14.59270966
361	14.59218363
362	14.5912049
363	14.59073101
364	14.58994988
365	14.58948285
366	14.58891094
367	14.58843751
368	14.58780724
369	14.5870481
370	14.58463967
371	14.58304012
372	14.58264554
373	14.58219259
374	14.58184274
375	14.58135941
376	14.58068323
377	14.57981884
378	14.57921824
379	14.57880175
380	14.57811659
381	14.57693659
382	14.57638627
383	14.57598219
384	14.57476705
385	14.57431257
386	14.57370312
387	14.57274305
388	14.5720492
389	14.57162783
390	14.5711298
391	14.57061284
392	14.57023377
393	14.56967939
394	14.56906572
395	14.56849081
396	14.56790021
397	14.56749552
398	14.56669588
399	14.5663186
400	14.56578447
401	14.56516734
402	14.56469781
403	14.56253121
404	14.56202945
405	14.5611949
406	14.56056133
407	14.55996911
408	14.55940503
409	14.55888142
410	14.55795061
411	14.55751123
412	14.55696313
413	14.55646368
414	14.55504938
415	14.55450934
416	14.55406061
417	14.55335431
418	14.55296491
419	14.55241764
420	14.55197139
421	14.5514007
422	14.54984508
423	14.54926368
424	14.5489111
425	14.5485943
426	14.54803247
427	14.5474122
428	14.54682819
429	14.54632956
430	14.54591335
431	14.54518717
432	14.5444624
433	14.54383866
434	14.54346889
435	14.54306457
436	14.54227188
437	14.54188057
438	14.54142356
439	14.540769
440	14.54032057
441	14.53996477
442	14.53953805
443	14.53908058
444	14.53866583
445	14.53812271
446	14.53767886
447	14.53671828
448	14.53590767
449	14.53513501
450	14.53451277
451	14.53398894
452	14.53320561
453	14.5326853
454	14.53218795
455	14.53160698
456	14.53046345
457	14.53000256
458	14.5280553
459	14.52760036
460	14.52732421
461	14.5265085
462	14.52589579
463	14.52556601
464	14.52515144
465	14.52484252
466	14.52410159
467	14.52333049
468	14.52288216
469	14.52222298
470	14.521879
471	14.52147781
472	14.52095488
473	14.52040347
474	14.51826011
475	14.51775421
476	14.51701214
477	14.51676475
478	14.51564834
479	14.51529397
480	14.5149014
481	14.5142806
482	14.51405164
483	14.51372992
484	14.51326626
485	14.51259446
486	14.51205541
487	14.51136329
488	14.51020644
489	14.50971488
490	14.50903997
491	14.50833389
492	14.50793182
493	14.50750678
494	14.50714167
495	14.50677834
496	14.50655091
497	14.50608315
498	14.50579496
499	14.50539634
500	14.50491479
501	14.50449676
502	14.50416711
503	14.50368111
504	14.503291
505	14.50295602
506	14.50262839
507	14.50227093
508	14.50085313
509	14.49984431
510	14.49928878
511	14.49894612
512	14.4984286
513	14.49793635
514	14.49766565
515	14.49713485
516	14.49670779
517	14.49605204
518	14.49565777
519	14.49526343
520	14.49478609
521	14.49441516
522	14.49389714
523	14.49348559
524	14.49317261
525	14.49267266
526	14.4920761
527	14.49137449
528	14.49092081
529	14.4904116
530	14.48939082
531	14.48892345
532	14.4884739
533	14.4880923
534	14.48762023
535	14.48652432
