feature,importance
DAY_OF_YEAR,7368
ORIGIN_TE,4610
DEST_TE,4416
OP_UNIQUE_CARRIER_TE,3581
ROUTE_TE,3395
DEP_HOUR,2888
DAY_OF_WEEK,2403
MONTH,1124
ORIGIN_TIER_large_hub,414
DEST_TIER_large_hub,267
ORIGIN_TIER_medium_hub,258
IS_HOLIDAY,201
DEST_TIER_medium_hub,166
ORIGIN_TIER_small_hub,152
ORIGIN_TIER_non_hub,112
DEST_TIER_small_hub,88
DEST_TIER_non_hub,57
