feature,importance
DAY_OF_YEAR,7812
ORIGIN_TE,5441
DEST_TE,5209
OP_UNIQUE_CARRIER_TE,3856
DEP_HOUR,3234
DAY_OF_WEEK,2526
MONTH,1449
ORIGIN_TIER_large_hub,450
DEST_TIER_large_hub,349
ORIGIN_TIER_medium_hub,333
ORIGIN_TIER_small_hub,203
DEST_TIER_medium_hub,201
IS_HOLIDAY,192
ORIGIN_TIER_non_hub,115
DEST_TIER_small_hub,93
DEST_TIER_non_hub,37
